customer_id,customer_gender,age_group,prime_member,customer_city,customer_state,repeat_customer
36029640,Female,36-51,No,Chennai,DL,No
70372092,Others,18-21,Yes,Pune,TS,No
98554865,Female,22-35,Yes,Pune,MH,No
91396799,Others,36-51,No,Hyderabad,TS,No
94737671,Male,22-35,No,Hyderabad,DL,Yes
27132916,Female,22-35,Yes,Ahmedabad,GJ,No
33376587,Female,22-35,Yes,Chennai,MH,Yes
34269259,Male,65+,Yes,Jaipur,DL,No
99180761,Female,36-51,No,Delhi,MH,Yes
32545394,Male,52-65,No,Pune,DL,No
27395063,Female,65+,Yes,Bangalore,TS,Yes
81647900,Female,22-35,No,Hyderabad,MH,Yes
56327379,Male,65+,Yes,Ahmedabad,KA,No
21566265,Male,22-35,No,Bangalore,TN,Yes
78580165,Female,52-65,No,Jaipur,TS,Yes
94634106,Female,18-21,No,Delhi,GJ,Yes
98757632,Female,65+,No,Mumbai,KA,No
41388548,Female,18-21,No,Chennai,MH,No
55767192,Female,52-65,Yes,Hyderabad,MH,No
13269745,Male,36-51,Yes,Bangalore,KA,No
42151982,Others,65+,No,Ahmedabad,MH,Yes
36075483,Others,22-35,No,Pune,GJ,Yes
38926586,Male,18-21,Yes,Ahmedabad,TS,No
69916510,Female,65+,Yes,Ahmedabad,MH,Yes
60075351,Male,22-35,Yes,Bangalore,KA,Yes
31491328,Others,65+,Yes,Jaipur,DL,No
52710599,Female,18-21,No,Mumbai,TN,No
61792300,Male,18-21,Yes,Hyderabad,TN,No
86112678,Male,52-65,Yes,Mumbai,TS,No
67466304,Male,65+,No,Bangalore,MH,Yes
84959784,Others,22-35,Yes,Ahmedabad,MH,Yes
71641616,Others,18-21,Yes,Ahmedabad,TN,Yes
46347181,Others,52-65,No,Ahmedabad,TN,Yes
57176736,Female,52-65,No,Mumbai,MH,Yes
50353247,Female,22-35,No,Jaipur,RJ,Yes
26682825,Others,36-51,No,Jaipur,KA,Yes
74568321,Others,65+,Yes,Mumbai,MH,Yes
17404674,Female,36-51,No,Bangalore,MH,No
18863684,Others,52-65,No,Chennai,GJ,Yes
91809529,Male,65+,Yes,Ahmedabad,TS,No
91776755,Male,36-51,Yes,Bangalore,MH,Yes
53525310,Others,65+,Yes,Pune,DL,Yes
83217396,Male,52-65,No,Chennai,MH,No
66834945,Others,52-65,No,Pune,MH,Yes
35087567,Others,22-35,Yes,Delhi,MH,Yes
49703033,Female,18-21,Yes,Hyderabad,KA,No
51277290,Male,65+,No,Delhi,GJ,Yes
75771486,Others,36-51,No,Bangalore,MH,Yes
83909368,Others,18-21,No,Hyderabad,MH,Yes
54347210,Others,18-21,Yes,Ahmedabad,DL,Yes
31595789,Male,52-65,No,Bangalore,KA,Yes
44632874,Female,22-35,No,Delhi,KA,No
85408851,Female,65+,No,Jaipur,TS,No
47785455,Male,36-51,No,Jaipur,MH,No
89236484,Male,18-21,No,Jaipur,DL,No
42737730,Others,36-51,Yes,Delhi,DL,No
70483890,Male,18-21,No,Ahmedabad,MH,No
62194613,Female,36-51,No,Pune,TN,No
59908643,Female,65+,Yes,Pune,MH,Yes
74413990,Female,18-21,No,Bangalore,KA,No
15092392,Male,22-35,No,Mumbai,KA,Yes
48431937,Female,36-51,Yes,Mumbai,KA,Yes
37612665,Female,36-51,No,Bangalore,MH,Yes
34496813,Others,65+,Yes,Delhi,MH,Yes
89405620,Male,22-35,No,Mumbai,KA,Yes
34285819,Male,65+,No,Hyderabad,RJ,No
10756814,Female,65+,Yes,Chennai,TN,Yes
41117685,Female,65+,No,Bangalore,TS,No
91140714,Others,18-21,No,Ahmedabad,GJ,No
19895603,Male,36-51,No,Ahmedabad,MH,Yes
73283767,Female,22-35,No,Pune,TN,No
87370136,Others,18-21,Yes,Bangalore,TS,No
62405064,Female,22-35,Yes,Pune,RJ,No
22878110,Male,52-65,Yes,Ahmedabad,MH,No
62499453,Others,52-65,No,Jaipur,GJ,No
60689241,Male,22-35,Yes,Mumbai,TS,Yes
55963613,Female,65+,Yes,Bangalore,MH,No
82923706,Male,52-65,Yes,Bangalore,TS,Yes
95657792,Female,18-21,Yes,Hyderabad,MH,No
92804387,Female,18-21,Yes,Pune,DL,No
96312940,Female,18-21,No,Delhi,RJ,No
92103095,Male,22-35,Yes,Chennai,MH,No
65668171,Others,18-21,No,Chennai,MH,Yes
37823331,Male,18-21,Yes,Delhi,MH,No
88569257,Others,52-65,Yes,Chennai,MH,Yes
93091888,Female,52-65,No,Delhi,MH,No
54727076,Female,18-21,Yes,Ahmedabad,MH,No
63117818,Others,22-35,Yes,Jaipur,MH,No
67159197,Male,22-35,Yes,Pune,MH,No
91580924,Others,52-65,No,Jaipur,DL,No
29616383,Male,36-51,Yes,Hyderabad,TN,Yes
25534940,Female,22-35,No,Ahmedabad,MH,No
47682084,Male,22-35,No,Pune,GJ,No
62021236,Male,18-21,No,Ahmedabad,GJ,Yes
87951242,Others,22-35,Yes,Jaipur,TS,No
53131326,Male,22-35,Yes,Hyderabad,MH,No
55991109,Others,36-51,Yes,Pune,KA,Yes
12451756,Others,36-51,Yes,Delhi,MH,No
83660706,Female,36-51,No,Delhi,MH,Yes
35756037,Others,18-21,Yes,Jaipur,MH,Yes
87250039,Others,18-21,No,Delhi,KA,No
59286555,Others,22-35,Yes,Mumbai,GJ,Yes
22741141,Male,52-65,Yes,Delhi,DL,No
40591473,Others,52-65,No,Jaipur,MH,No
98855777,Male,36-51,Yes,Pune,MH,No
38991573,Male,65+,Yes,Ahmedabad,TS,No
17981047,Male,22-35,Yes,Delhi,MH,No
97920904,Others,52-65,No,Delhi,DL,Yes
40521669,Others,36-51,Yes,Hyderabad,MH,Yes
58652937,Others,65+,Yes,Pune,MH,No
22255012,Female,52-65,Yes,Chennai,TS,No
34126361,Male,18-21,Yes,Bangalore,KA,No
31505694,Others,52-65,Yes,Hyderabad,MH,No
46783996,Male,22-35,No,Mumbai,TN,Yes
65941343,Male,18-21,No,Mumbai,KA,No
88758168,Female,36-51,No,Delhi,TN,No
88173992,Others,22-35,Yes,Delhi,RJ,No
21638635,Female,36-51,No,Pune,TS,No
18088985,Others,18-21,Yes,Pune,GJ,No
30617648,Others,65+,Yes,Ahmedabad,MH,No
11094029,Male,18-21,Yes,Hyderabad,TS,Yes
25369671,Male,65+,No,Mumbai,KA,Yes
37598904,Male,52-65,No,Hyderabad,GJ,No
78298910,Female,65+,Yes,Chennai,TS,No
87556220,Female,65+,No,Pune,DL,Yes
14858904,Others,18-21,No,Ahmedabad,RJ,Yes
13073188,Male,65+,Yes,Chennai,TN,Yes
68487621,Others,52-65,Yes,Ahmedabad,RJ,Yes
99306054,Others,36-51,Yes,Jaipur,TN,Yes
34689534,Female,22-35,No,Delhi,DL,No
76442641,Female,52-65,No,Mumbai,KA,No
12017468,Male,65+,No,Chennai,MH,Yes
40301644,Female,52-65,No,Chennai,RJ,Yes
27675645,Female,22-35,No,Jaipur,KA,No
58567143,Others,18-21,No,Delhi,MH,Yes
42313782,Female,18-21,No,Bangalore,TS,No
36583891,Male,36-51,Yes,Mumbai,MH,Yes
79675708,Others,52-65,Yes,Pune,RJ,Yes
22948269,Others,18-21,Yes,Jaipur,GJ,Yes
53339317,Others,18-21,No,Delhi,MH,Yes
36196146,Others,65+,Yes,Jaipur,TN,Yes
61711498,Female,36-51,Yes,Chennai,GJ,Yes
35446320,Female,22-35,Yes,Bangalore,TS,No
33371441,Female,22-35,No,Chennai,TS,Yes
62966865,Male,18-21,Yes,Delhi,RJ,No
24210080,Others,52-65,Yes,Hyderabad,MH,No
76238541,Female,36-51,No,Ahmedabad,MH,Yes
38704986,Others,52-65,No,Delhi,GJ,No
85660614,Female,52-65,Yes,Bangalore,TS,No
22452704,Female,22-35,Yes,Delhi,RJ,No
92116405,Others,22-35,No,Pune,RJ,Yes
17164135,Others,52-65,No,Mumbai,TN,No
63941327,Male,65+,Yes,Chennai,DL,Yes
80646474,Male,18-21,No,Chennai,TN,Yes
60053027,Others,52-65,Yes,Pune,DL,Yes
80798197,Others,22-35,No,Jaipur,GJ,No
95095133,Male,18-21,Yes,Hyderabad,RJ,No
93180788,Male,18-21,Yes,Jaipur,RJ,Yes
69427807,Female,52-65,No,Mumbai,TS,Yes
89701645,Others,65+,Yes,Mumbai,MH,Yes
25417051,Female,22-35,No,Chennai,MH,Yes
17068764,Female,36-51,No,Bangalore,TS,Yes
45678856,Female,36-51,No,Hyderabad,MH,Yes
42706864,Female,65+,No,Chennai,GJ,No
45372646,Others,65+,No,Delhi,GJ,Yes
42604198,Others,52-65,No,Bangalore,MH,Yes
86748599,Female,52-65,Yes,Delhi,MH,Yes
91526070,Male,36-51,No,Jaipur,TN,Yes
83598256,Others,18-21,Yes,Mumbai,MH,No
20548875,Male,22-35,No,Chennai,MH,Yes
75386166,Female,18-21,Yes,Bangalore,TS,Yes
62892501,Male,65+,Yes,Bangalore,TN,No
88891014,Male,18-21,No,Mumbai,MH,No
42905634,Female,65+,Yes,Bangalore,MH,No
42890958,Male,65+,No,Mumbai,MH,No
33142263,Male,18-21,Yes,Mumbai,DL,Yes
93598704,Others,65+,Yes,Hyderabad,KA,Yes
42274026,Others,22-35,Yes,Hyderabad,RJ,No
79300520,Female,18-21,Yes,Bangalore,RJ,No
55777512,Female,52-65,Yes,Mumbai,TN,Yes
26052557,Female,52-65,Yes,Hyderabad,MH,Yes
68553001,Others,36-51,Yes,Hyderabad,RJ,Yes
87007402,Others,18-21,Yes,Bangalore,MH,No
41685124,Male,22-35,No,Ahmedabad,MH,No
11032306,Female,65+,No,Mumbai,MH,No
34262562,Male,22-35,No,Pune,GJ,Yes
95647189,Others,22-35,No,Delhi,MH,Yes
25387513,Male,36-51,Yes,Delhi,RJ,No
21176303,Male,18-21,No,Hyderabad,TN,Yes
18296673,Others,18-21,No,Mumbai,GJ,No
57244635,Others,65+,Yes,Hyderabad,TN,Yes
71651379,Male,18-21,No,Ahmedabad,TN,No
13491164,Male,22-35,No,Chennai,TS,No
62811559,Others,52-65,No,Jaipur,MH,Yes
27939350,Female,36-51,Yes,Mumbai,DL,No
84990955,Male,52-65,Yes,Bangalore,MH,No
80535509,Female,52-65,No,Pune,GJ,Yes
52782879,Male,52-65,No,Chennai,RJ,Yes
49783892,Female,36-51,Yes,Chennai,TS,Yes
63836506,Female,36-51,No,Bangalore,DL,Yes
56385935,Others,22-35,No,Pune,RJ,No
95659705,Others,22-35,No,Ahmedabad,GJ,Yes
81520799,Female,22-35,Yes,Delhi,MH,Yes
44140725,Male,52-65,No,Delhi,TN,Yes
40493631,Female,36-51,No,Ahmedabad,KA,No
40562202,Male,22-35,No,Hyderabad,KA,Yes
50971731,Female,22-35,No,Pune,GJ,Yes
50242816,Female,18-21,No,Chennai,RJ,Yes
