inventory_id,product_id,brand,available_stock,warehouse,restock_date,stock_status
INV8756619,P696556,Brand_37,354,Bangalore FC,,In Stock
INV8696805,P215317,Brand_17,75,Pune FC,,In Stock
INV3629800,P912425,Brand_4,296,Pune FC,,In Stock
INV9950665,P437178,Brand_47,312,Bangalore FC,,In Stock
INV2625110,P225998,Brand_2,457,Chennai FC,,In Stock
INV8892673,P358495,Brand_19,82,Delhi FC,,In Stock
INV9823809,P246221,Brand_30,226,Hyderabad FC,,In Stock
INV6915946,P761082,Brand_14,225,Delhi FC,,In Stock
INV1263507,P319796,Brand_40,156,Bangalore FC,,In Stock
INV1696671,P576234,Brand_33,488,Hyderabad FC,,In Stock
INV6282794,P529671,Brand_34,31,Bangalore FC,2026-03-28,Low Stock
INV7467381,P896238,Brand_1,233,Bangalore FC,,In Stock
INV8207447,P334772,Brand_14,201,Delhi FC,,In Stock
INV8395229,P284121,Brand_38,353,Delhi FC,,In Stock
INV8727765,P496627,Brand_41,191,Hyderabad FC,,In Stock
INV9906418,P578880,Brand_25,145,Mumbai FC,,In Stock
INV1693415,P059852,Brand_35,91,Bangalore FC,,In Stock
INV3171984,P093662,Brand_29,65,Mumbai FC,,In Stock
INV1698013,P643240,Brand_17,64,Hyderabad FC,,In Stock
INV8154227,P384922,Brand_15,345,Bangalore FC,,In Stock
INV5885116,P049518,Brand_36,267,Mumbai FC,,In Stock
INV7298319,P440564,Brand_8,62,Chennai FC,,In Stock
INV2890515,P520996,Brand_28,386,Chennai FC,,In Stock
INV8743045,P964909,Brand_37,208,Pune FC,,In Stock
INV4521286,P375171,Brand_26,201,Delhi FC,,In Stock
INV6992858,P363610,Brand_25,414,Pune FC,,In Stock
INV4447200,P261710,Brand_33,129,Pune FC,,In Stock
INV8217451,P478795,Brand_4,56,Bangalore FC,,In Stock
INV7011109,P030526,Brand_36,0,Delhi FC,2026-04-07,Out of Stock
INV5898720,P450963,Brand_9,455,Pune FC,,In Stock
INV7829775,P244674,Brand_13,144,Hyderabad FC,,In Stock
INV8552471,P740717,Brand_37,241,Hyderabad FC,,In Stock
INV8848175,P869058,Brand_9,13,Chennai FC,2026-03-06,Low Stock
INV9622995,P112023,Brand_16,77,Bangalore FC,,In Stock
INV6775836,P134121,Brand_23,217,Chennai FC,,In Stock
INV1180878,P150208,Brand_37,447,Delhi FC,,In Stock
INV4894463,P253956,Brand_28,115,Chennai FC,,In Stock
INV9072516,P097552,Brand_9,337,Hyderabad FC,,In Stock
INV7432408,P655411,Brand_33,408,Hyderabad FC,,In Stock
INV8232946,P562448,Brand_26,261,Delhi FC,,In Stock
INV8663270,P025795,Brand_26,417,Delhi FC,,In Stock
INV8922139,P581021,Brand_14,365,Bangalore FC,,In Stock
INV3586918,P001432,Brand_33,52,Hyderabad FC,,In Stock
INV8426506,P465672,Brand_36,219,Mumbai FC,,In Stock
INV5044193,P836349,Brand_14,377,Chennai FC,,In Stock
INV9091188,P109357,Brand_38,118,Pune FC,,In Stock
INV6223018,P261047,Brand_45,466,Hyderabad FC,,In Stock
INV3313445,P686998,Brand_2,146,Delhi FC,,In Stock
INV2033407,P713794,Brand_18,355,Hyderabad FC,,In Stock
INV2610568,P125403,Brand_29,407,Mumbai FC,,In Stock
INV7676891,P288772,Brand_11,153,Bangalore FC,,In Stock
INV6173240,P397655,Brand_43,151,Hyderabad FC,,In Stock
INV8019660,P028890,Brand_38,356,Hyderabad FC,,In Stock
INV5150319,P833430,Brand_8,305,Pune FC,,In Stock
INV7282812,P700158,Brand_38,162,Bangalore FC,,In Stock
INV1625484,P610535,Brand_50,62,Chennai FC,,In Stock
INV9014181,P260419,Brand_9,491,Hyderabad FC,,In Stock
INV9120756,P144872,Brand_30,50,Bangalore FC,,In Stock
INV9959149,P831042,Brand_23,282,Hyderabad FC,,In Stock
INV4441765,P066128,Brand_25,498,Delhi FC,,In Stock
INV2028102,P750137,Brand_32,436,Hyderabad FC,,In Stock
INV3884024,P305243,Brand_13,439,Chennai FC,,In Stock
INV7152298,P916117,Brand_7,193,Delhi FC,,In Stock
INV3199627,P438763,Brand_1,378,Bangalore FC,,In Stock
INV7333822,P457183,Brand_42,235,Pune FC,,In Stock
INV1844223,P395557,Brand_21,288,Delhi FC,,In Stock
INV7091789,P628625,Brand_16,194,Hyderabad FC,,In Stock
INV5935354,P524985,Brand_48,497,Delhi FC,,In Stock
INV7561996,P715662,Brand_48,231,Pune FC,,In Stock
INV1906045,P790931,Brand_42,323,Mumbai FC,,In Stock
INV8148263,P958960,Brand_23,369,Pune FC,,In Stock
INV3246666,P930972,Brand_2,397,Hyderabad FC,,In Stock
INV6620029,P179073,Brand_43,412,Mumbai FC,,In Stock
INV1693148,P842487,Brand_50,14,Chennai FC,2026-03-31,Low Stock
INV3078778,P167405,Brand_45,209,Delhi FC,,In Stock
INV3692643,P245765,Brand_2,172,Bangalore FC,,In Stock
INV2450397,P464625,Brand_18,64,Delhi FC,,In Stock
INV2013463,P835435,Brand_33,9,Delhi FC,2026-03-02,Low Stock
INV6688746,P615706,Brand_29,487,Hyderabad FC,,In Stock
INV1912064,P259590,Brand_17,413,Mumbai FC,,In Stock
INV1425903,P665675,Brand_41,344,Chennai FC,,In Stock
INV8348779,P022998,Brand_35,195,Chennai FC,,In Stock
INV1754576,P636017,Brand_13,305,Chennai FC,,In Stock
INV1791614,P411532,Brand_5,267,Hyderabad FC,,In Stock
INV5916598,P503792,Brand_30,8,Bangalore FC,2026-04-18,Low Stock
INV2924509,P851518,Brand_41,425,Mumbai FC,,In Stock
INV2860720,P639663,Brand_26,494,Hyderabad FC,,In Stock
INV6735668,P011640,Brand_36,445,Pune FC,,In Stock
INV7527307,P320393,Brand_14,229,Hyderabad FC,,In Stock
INV5695278,P323866,Brand_46,284,Mumbai FC,,In Stock
INV9802794,P573646,Brand_25,27,Pune FC,2026-02-24,Low Stock
INV8522489,P421560,Brand_38,312,Chennai FC,,In Stock
INV6907311,P839794,Brand_12,491,Hyderabad FC,,In Stock
