product_id,product_name,brand,category,sub_category,gender,mrp,discount_pct,selling_price
P919237,Product_3139,Brand_2,Footwear,Women's Footwear,Boy Kid,1299,10,1169.1
P871576,Product_9945,Brand_45,Pet Supplies,Grooming & Care,Boy Kid,999,20,799.2
P515213,Product_2499,Brand_40,Clothing,Men's Clothing,Boy Kid,2499,30,1749.3
P964194,Product_4304,Brand_47,Footwear,Women's Footwear,Boy Kid,2499,5,2374.05
P611219,Product_7376,Brand_41,Clothing,Men's Clothing,Unisex,1999,30,1399.3
P147783,Product_3049,Brand_20,Pet Supplies,Grooming & Care,Unisex,499,50,249.5
P344077,Product_9409,Brand_6,Footwear,Men's Footwear,Female,699,50,349.5
P220854,Product_4458,Brand_20,Footwear,Women's Footwear,Male,1999,30,1399.3
P196917,Product_5503,Brand_22,Clothing,Men's Clothing,Female,1299,15,1104.15
P733238,Product_4349,Brand_17,Furniture,Living Room Furniture,Male,999,40,599.4
P531843,Product_3901,Brand_37,Pet Supplies,Grooming & Care,Girl Kid,1999,10,1799.1
P114206,Product_6224,Brand_9,Pet Supplies,Grooming & Care,Unisex,699,5,664.05
P430748,Product_2046,Brand_29,Furniture,Living Room Furniture,Unisex,2499,20,1999.2
P184975,Product_5427,Brand_17,Footwear,Women's Footwear,Male,1999,30,1399.3
P994149,Product_5481,Brand_47,Footwear,Men's Footwear,Girl Kid,499,10,449.1
P161208,Product_4491,Brand_44,Footwear,Women's Footwear,Female,1999,10,1799.1
P618931,Product_7322,Brand_42,Clothing,Women's Clothing,Unisex,699,30,489.3
P815439,Product_1549,Brand_14,Clothing,Kids' Clothing,Girl Kid,1499,25,1124.25
P977181,Product_6224,Brand_24,Clothing,Kids' Clothing,Girl Kid,1999,25,1499.25
P505071,Product_6901,Brand_48,Clothing,Kids' Clothing,Female,1299,50,649.5
P261785,Product_7430,Brand_10,Clothing,Men's Clothing,Male,1299,10,1169.1
P202638,Product_1457,Brand_33,Furniture,Living Room Furniture,Female,499,30,349.3
P750597,Product_2326,Brand_48,Clothing,Women's Clothing,Unisex,999,5,949.05
P342822,Product_3429,Brand_10,Clothing,Men's Clothing,Girl Kid,2499,25,1874.25
P211008,Product_5193,Brand_12,Clothing,Women's Clothing,Male,499,40,299.4
P001142,Product_6746,Brand_5,Furniture,Living Room Furniture,Male,2499,25,1874.25
P542661,Product_4077,Brand_5,Footwear,Men's Footwear,Female,1499,40,899.4
