return_id,order_id,product_id,return_date,return_reason,refund_amount,refund_status
R8886226,O8224805,P030551,2025-02-10,Color mismatch,792.8,Pending
R1147346,O9704131,P467112,2024-08-26,Late delivery,3455.62,Pending
R4349436,O4703585,P423238,2024-08-03,Damaged item,519.15,Pending
R4905784,O7359013,P323576,2024-05-16,Size issue,403.66,Completed
R9257934,O4485502,P920502,2024-05-18,Size issue,996.96,Completed
R5189680,O7363978,P403005,2024-09-03,Size issue,2609.24,Pending
R8992561,O3924484,P924098,2024-09-21,Damaged item,649.03,Pending
R6213980,O6585598,P420340,2025-01-11,Damaged item,3325.91,Completed
R7346204,O6350874,P029017,2024-05-24,Color mismatch,1880.76,Pending
R3919112,O2589316,P351224,2024-06-03,Late delivery,966.01,Pending
R5945891,O4942586,P904289,2024-02-03,Late delivery,2801.83,Pending
R5435364,O9662049,P423238,2024-09-29,Late delivery,279.59,Pending
R9926394,O7162334,P698215,2024-11-04,Damaged item,600.28,Pending
R7783735,O6830045,P550500,2024-01-09,Size issue,1319.27,Pending
R5402918,O5386379,P151877,2024-06-20,Quality issue,484.55,Completed
R4400673,O4345633,P943973,2024-03-04,Damaged item,3791.75,Completed
R3553831,O9879067,P173324,2024-11-18,Damaged item,976.12,Pending
R2841608,O8349340,P082734,2024-08-16,Not as described,793.08,Pending
R2522455,O8962123,P751971,2024-09-06,Damaged item,400.01,Completed
R9633816,O4279874,P536457,2024-03-31,Late delivery,284.0,Completed
R4532306,O5572940,P783773,2024-10-02,Not as described,1102.05,Completed
R9307014,O2431290,P924571,2024-01-23,Color mismatch,298.16,Pending
R2675643,O6997263,P202097,2024-05-28,Size issue,1661.6,Pending
R3152367,O6030552,P370357,2024-11-03,Damaged item,350.55,Completed
R1291048,O1604486,P759711,2024-07-09,Late delivery,8050.61,Completed
R8867698,O4868956,P245765,2025-01-30,Size issue,970.1,Pending
R5664108,O4993954,P899509,2024-05-29,Not as described,601.97,Completed
R4820474,O3513524,P648696,2025-01-23,Color mismatch,4877.86,Completed
R6861231,O7620550,P407331,2024-03-19,Not as described,2337.29,Completed
R1391528,O2755461,P334998,2024-03-18,Size issue,655.38,Completed
R5324945,O2366975,P879229,2024-04-26,Quality issue,1202.26,Pending
R2831082,O7790410,P217387,2025-01-19,Late delivery,2943.46,Completed
R5178613,O6077827,P207517,2024-04-12,Not as described,5096.62,Completed
R3828310,O9062942,P499245,2025-02-07,Late delivery,1073.28,Completed
R4924559,O9229916,P290796,2024-04-21,Not as described,1075.92,Completed
R2849594,O4707349,P601677,2024-08-12,Damaged item,2655.32,Pending
R8283287,O2740475,P958230,2024-08-10,Quality issue,494.07,Pending
R3096802,O9604341,P565996,2024-10-12,Late delivery,2174.71,Completed
R9252202,O2227842,P067535,2024-09-05,Size issue,1072.91,Pending
R7809245,O6853240,P453137,2024-10-25,Size issue,1124.76,Pending
R8298770,O2224855,P226043,2024-09-17,Quality issue,2005.68,Completed
R1709258,O1926593,P759919,2024-03-29,Quality issue,4244.09,Completed
R1273446,O4946126,P767447,2024-10-05,Late delivery,603.9,Pending
R9393243,O4640842,P913590,2024-12-14,Quality issue,1540.59,Pending
R2070685,O8727139,P019829,2024-02-11,Quality issue,3185.87,Pending
R4779901,O9983658,P985792,2024-02-25,Late delivery,1836.78,Completed
R1082208,O7840766,P676257,2024-10-28,Late delivery,450.39,Completed
R9199029,O9487493,P933237,2024-06-18,Quality issue,4457.31,Completed
R5230199,O5242355,P836601,2024-07-03,Late delivery,1747.46,Pending
R1915809,O6435363,P761988,2024-07-17,Late delivery,6024.56,Completed
R4448793,O3921319,P979993,2024-08-07,Color mismatch,1924.71,Completed
R5253179,O9587846,P419874,2024-07-03,Color mismatch,895.16,Completed
R6198040,O5631595,P233471,2025-01-07,Not as described,1597.57,Pending
R7912727,O8403052,P774221,2024-12-31,Late delivery,1203.91,Pending
R4645100,O1376023,P546844,2024-04-10,Damaged item,4352.97,Completed
R5513278,O2849581,P516755,2024-03-03,Not as described,1933.49,Pending
R4560541,O1710972,P118237,2025-01-06,Quality issue,4174.9,Pending
R5800206,O7019891,P399662,2024-09-23,Late delivery,3217.49,Pending
R7385965,O1248661,P066142,2024-01-08,Quality issue,876.78,Completed
R1413480,O9935226,P278361,2024-04-29,Not as described,231.59,Pending
R5212427,O3909446,P535382,2024-03-25,Color mismatch,1293.67,Completed
R7189878,O1184248,P248479,2025-01-22,Not as described,856.04,Completed
R4516763,O5362284,P696186,2024-04-10,Color mismatch,2585.48,Completed
R6034064,O3227729,P844846,2024-10-08,Color mismatch,416.59,Completed
R5320052,O5027738,P389008,2024-09-30,Not as described,1333.89,Completed
R2085814,O1818414,P218100,2024-12-03,Late delivery,314.77,Pending
R8935769,O8744601,P552359,2024-08-14,Damaged item,2455.84,Pending
R2209030,O4605988,P471436,2024-06-23,Not as described,1922.8,Pending
R6772846,O7514533,P025581,2024-12-12,Size issue,4941.07,Pending
R5794129,O7771213,P260994,2024-09-05,Quality issue,2902.73,Completed
R2903069,O7456665,P222021,2024-06-04,Not as described,444.63,Completed
R7586155,O9126908,P240561,2024-08-21,Color mismatch,1018.28,Completed
R2892773,O3338447,P740717,2024-10-13,Color mismatch,607.61,Pending
R8025985,O6958236,P690177,2024-06-22,Size issue,518.48,Pending
R5431082,O9689773,P838472,2024-10-28,Not as described,3549.39,Pending
R2229260,O4742498,P141673,2024-11-18,Quality issue,2476.33,Completed
R5096736,O7873887,P588545,2024-12-10,Color mismatch,1158.12,Completed
R6538381,O4842099,P073982,2024-12-11,Size issue,838.59,Completed
R7996391,O5546894,P984564,2024-07-08,Not as described,4873.9,Pending
R3041788,O2146037,P654761,2024-08-19,Quality issue,1586.69,Pending
R4661547,O2221916,P259197,2024-08-31,Not as described,1001.27,Completed
R5982002,O5827730,P200282,2024-02-12,Size issue,350.91,Pending
R8369760,O4175732,P457183,2025-02-10,Damaged item,1620.41,Completed
R3836691,O3021891,P024253,2024-08-12,Size issue,431.5,Pending
R5507205,O2841827,P686247,2024-07-28,Not as described,2217.8,Completed
