review_id,product_id,customer_id,rating,review_text,review_date,verified_purchase
RV7937138,P459368,91340424,3,Color looks great,2024-12-28,Yes
RV1182506,P343368,21932812,2,Exceeded expectations,2024-10-20,No
RV7076278,P195466,10084844,3,Average product,2024-09-29,No
RV9870534,P048424,19580868,2,Poor stitching,2024-06-05,Yes
RV9827286,P221006,25817438,3,Poor stitching,2024-10-09,No
RV7098034,P085683,40460126,4,Not satisfied with material,2024-09-09,Yes
RV2197339,P389127,36067840,1,Not satisfied with material,2024-02-28,No
RV4552608,P180408,91994705,3,Worth the price,2024-09-15,Yes
RV6133056,P458721,93683166,4,Average product,2024-06-10,No
RV1048397,P892559,20241561,1,Worth the price,2024-01-19,No
RV2153544,P982841,48058054,1,Value for money,2024-07-02,Yes
RV4136994,P975239,34225256,2,Highly recommended,2024-01-23,No
RV8514338,P995834,17240865,2,Size was perfect,2024-10-12,No
RV8542947,P053671,40666188,1,Color looks great,2024-03-17,Yes
RV2079958,P017152,98703702,1,Highly recommended,2024-08-11,Yes
RV2836287,P938228,61649358,5,Poor stitching,2024-07-26,Yes
RV4977671,P171664,51274005,5,Value for money,2024-09-28,No
RV4742480,P053162,92116405,1,Not satisfied with material,2024-04-05,No
RV7553358,P297704,99053988,4,Average product,2024-05-11,Yes
RV4949663,P322865,16245402,3,Value for money,2024-01-29,Yes
RV3966413,P106404,32453031,3,Color looks great,2024-02-18,Yes
RV9432547,P805799,18784377,1,Not satisfied with material,2024-08-19,Yes
RV2251762,P937571,52101059,1,Size was perfect,2024-05-30,Yes
RV5092223,P129523,16682973,3,Highly recommended,2024-06-21,No
RV8707430,P262159,46479125,1,Very good quality,2024-02-10,No
RV2951268,P323866,79342557,1,Not satisfied with material,2024-09-23,No
RV6713030,P811174,92388203,5,Size was perfect,2024-09-24,No
RV1281072,P459721,22649370,5,Very good quality,2024-08-15,Yes
RV5795305,P420202,78705355,1,Color looks great,2024-02-25,Yes
RV3514841,P449480,61220612,3,Worth the price,2025-01-02,Yes
RV9942962,P260176,77897462,4,Very good quality,2024-11-27,No
RV4078502,P124923,42131218,1,Color looks great,2024-01-18,No
RV3423518,P691219,80295707,4,Not satisfied with material,2024-08-02,No
RV6630287,P623319,76683752,5,Average product,2024-09-28,No
RV9859429,P183958,13392570,5,Exceeded expectations,2024-08-17,Yes
RV9635503,P877849,26749979,2,Poor stitching,2024-11-15,No
RV9210652,P123357,95105177,4,Value for money,2024-11-17,Yes
RV8531941,P110172,99299782,3,Color looks great,2024-10-19,Yes
RV4522278,P995296,69519412,4,Highly recommended,2024-03-13,Yes
RV1772749,P543046,73314008,2,Very good quality,2024-01-03,No
RV1118161,P432031,41782022,1,Value for money,2024-11-21,Yes
RV8625148,P067032,68305129,5,Poor stitching,2024-07-17,Yes
RV4644116,P796337,24837438,1,Value for money,2024-07-11,Yes
RV9980004,P200674,78833373,3,Not satisfied with material,2024-12-16,Yes
RV5862574,P006698,44903636,3,Worth the price,2024-06-03,Yes
