order_id,order_date,customer_id,product_id,units_sold,total_sales,payment_method,order_status
O7813404,2025-02-01,95067991,P872924,4,7497.0,Card,Delivered
O5322986,2024-11-01,96966882,P310929,4,3117.6,Wallet,Returned
O6517847,2024-11-21,56826198,P843272,3,1677.6,UPI,Returned
O5457579,2024-02-04,58691520,P612644,4,6796.6,UPI,Cancelled
O3465517,2024-08-31,93133329,P152380,2,4748.1,COD,Returned
O8543612,2024-02-15,38888184,P798677,3,5697.15,COD,Delivered
O4290509,2025-02-01,89621116,P373794,1,249.5,COD,Cancelled
O7954811,2024-02-29,75897792,P227289,1,2124.15,Card,Delivered
O4365815,2024-10-03,66010995,P615610,2,1818.6,Card,Delivered
O7109775,2024-05-01,74942727,P397160,4,2236.8,Card,Delivered
O6919772,2025-01-15,63947387,P221217,3,1948.5,COD,Delivered
O8747976,2024-04-01,41361744,P594205,2,2398.4,Wallet,Cancelled
O5419135,2024-07-23,44365564,P284775,1,1039.2,Wallet,Delivered
O1216130,2024-06-17,86365168,P569061,2,2208.3,UPI,Delivered
O3175966,2024-11-11,40430419,P115559,1,1199.2,Card,Delivered
O6157950,2024-11-12,16206982,P522744,2,2338.2,Card,Delivered
O8573801,2024-02-19,60949681,P722195,1,1499.4,UPI,Delivered
O5828360,2024-05-15,36050750,P008422,2,1558.8,Wallet,Returned
O7459842,2024-07-31,39147722,P310494,1,649.5,COD,Delivered
O9351816,2024-03-19,24218500,P080218,3,1948.5,UPI,Cancelled
O9548405,2024-01-22,55732792,P378571,4,1998.0,UPI,Delivered
O5488215,2024-08-19,66879925,P925364,2,1818.6,UPI,Cancelled
O6188499,2024-08-15,59692539,P316799,1,1999.2,Card,Cancelled
O8189458,2024-06-22,32470199,P696186,2,2078.4,Wallet,Cancelled
O6315269,2024-01-21,51025817,P688395,4,1957.2,UPI,Returned
O4631272,2024-12-04,65342977,P357616,4,1398.0,Card,Returned
O1371470,2024-11-18,78697437,P124255,1,1049.3,Card,Returned
O1806696,2024-10-22,79924329,P599934,3,3598.2,Wallet,Delivered
O7277678,2024-01-02,57804228,P744719,1,799.2,COD,Returned
O6036817,2024-04-16,76442641,P540366,1,649.5,Card,Delivered
O8207986,2024-01-18,53511842,P882624,3,1677.6,UPI,Returned
O6891650,2024-02-01,78327154,P302731,1,2374.05,UPI,Cancelled
O4213617,2024-10-21,39883553,P490067,1,799.2,UPI,Returned
O9083787,2024-02-16,98818160,P626509,1,499.5,UPI,Delivered
O4243029,2024-11-07,42750947,P972193,1,909.3,UPI,Cancelled
O1610763,2024-10-31,51252404,P968464,3,2248.5,Card,Returned
